x1_épaule,x1_coude,x1_poignet,y1_épaule,y1_coude,y1_poignet,z1_épaule,z1_coude,z1_poignet,x2_épaule,x2_coude,x2_poignet,y2_épaule,y2_coude,y2_poignet,z2_épaule,z2_coude,z2_poignet
-2.5,-1.96500234275083,-1.16250585687706,0,1.92711637083439,4.81779092708596,0,0,2.89067455625158,2.5,1.96500234275082,1.16250585687706,0,-1.92711637083439,-4.81779092708596,0,0,-2.89067455625158
-2.5,-2.16006571419952,-1.6501642854988,0,1.97089945997692,4.9272486499423,0,0,2.95634918996538,2.5,2.16006571419952,1.6501642854988,0,-1.97089945997692,-4.9272486499423,0,0,-2.95634918996538
-2.5,-2.35852559666459,-2.14631399166149,0,1.99498997320811,4.98747493302027,0,0,2.99248495981216,2.5,2.35852559666459,2.14631399166148,0,-1.99498997320811,-4.98747493302027,0,0,-2.99248495981216
-2.5,-2.55839904460258,-2.64599761150644,0,1.99914720608301,4.99786801520753,0,0,2.99872080912452,2.5,2.55839904460258,2.64599761150644,0,-1.99914720608301,-4.99786801520753,0,0,-2.99872080912452
-2.5,-2.75768898859105,-3.14422247147762,0,1.98332962090494,4.95832405226234,0,0,2.97499443135741,2.5,2.75768898859105,3.14422247147762,0,-1.98332962090494,-4.95832405226234,0,0,-2.97499443135741
-2.5,-2.95440418938617,-3.63601047346544,0,1.94769526175639,4.86923815439098,0,0,2.92154289263459,2.5,2.95440418938617,3.63601047346543,0,-1.94769526175639,-4.86923815439098,0,0,-2.92154289263459
-2.5,-3.14657913372701,-4.11644783431752,0,1.89260017537483,4.73150043843707,0,0,2.83890026306224,2.5,3.14657913372701,4.11644783431752,0,-1.89260017537483,-4.73150043843707,0,0,-2.83890026306224
-2.5,-3.33229367309428,-4.58073418273571,0,1.81859485365136,4.54648713412841,0,0,2.72789228047704,2.5,3.33229367309428,4.58073418273571,0,-1.81859485365136,-4.54648713412841,0,0,-2.72789228047704
-2.5,-3.50969220919972,-5.02423052299929,0,1.72641873329775,4.31604683324437,0,0,2.58962809994662,2.5,3.50969220919971,5.02423052299928,0,-1.72641873329775,-4.31604683324437,0,0,-2.58962809994662
-2.5,-3.67700223451069,-5.44250558627673,0,1.61699280763918,4.04248201909795,0,0,2.42548921145877,2.5,3.67700223451069,5.44250558627673,0,-1.61699280763918,-4.04248201909795,0,0,-2.42548921145877
-2.5,-3.83255204255965,-5.83138010639912,0,1.49141042435344,3.7285260608836,0,0,2.23711563653016,2.5,3.83255204255965,5.83138010639912,0,-1.49141042435344,-3.7285260608836,0,0,-2.23711563653016
-2.5,-3.97478743108249,-6.18696857770623,0,1.3509263611023,3.37731590275575,0,0,2.02638954165345,2.5,3.97478743108249,6.18696857770623,0,-1.3509263611023,-3.37731590275575,0,0,-2.02638954165345
-2.5,-4.10228723109387,-6.50571807773467,0,1.19694428820791,2.99236072051978,0,0,1.79541643231187,2.5,4.10228723109387,6.50571807773467,0,-1.19694428820791,-2.99236072051978,0,0,-1.79541643231187
-2.5,-4.21377750673789,-6.78444376684474,0,1.03100274364293,2.57750685910732,0,0,1.54650411546439,2.5,4.21377750673789,6.78444376684473,0,-1.03100274364293,-2.57750685910732,0,0,-1.54650411546439
-2.5,-4.30814428403412,-7.02036071008531,0,0.85475976046766,2.13689940116915,0,0,1.28213964070149,2.5,4.30814428403412,7.02036071008531,0,-0.85475976046766,-2.13689940116915,0,0,-1.28213964070149
-2.5,-4.38444468133732,-7.21111170334329,0,0.669976300311809,1.67494075077952,0,0,1.00496445046771,2.5,4.38444468133732,7.21111170334329,0,-0.669976300311809,-1.67494075077952,0,0,-1.00496445046771
-2.5,-4.44191633029918,-7.35479082574795,0,0.478498658427964,1.19624664606991,0,0,0.717747987641946,2.5,4.44191633029918,7.35479082574795,0,-0.478498658427964,-1.19624664606991,0,0,-0.717747987641946
-2.5,-4.47998499320089,-7.44996248300223,0,0.282240016119734,0.705600040299336,0,0,0.423360024179602,2.5,4.47998499320089,7.44996248300223,0,-0.282240016119735,-0.705600040299337,0,0,-0.423360024179602
-2.5,-4.49827030054656,-7.4956757513664,0,0.083161324866581,0.207903312166452,0,0,0.124741987299871,2.5,4.49827030054656,7.4956757513664,0,-0.0831613248665821,-0.207903312166455,0,0,-0.124741987299873
-2.5,-4.49658955158951,-7.49147387897377,0,-0.11674828685516,-0.2918707171379,0,0,-0.17512243028274,2.5,4.49658955158951,7.49147387897377,0,0.11674828685516,0.2918707171379,0,0,0.17512243028274
-2.5,-4.47495953981773,-7.43739884954432,0,-0.315491388286497,-0.788728470716243,0,0,-0.473237082429746,2.5,4.47495953981773,7.43739884954432,0,0.315491388286498,0.788728470716245,0,0,0.473237082429747
-2.5,-4.43359638515892,-7.3339909628973,0,-0.511082204053663,-1.27770551013416,0,0,-0.766623306080495,2.5,4.43359638515892,7.33399096289731,0,0.511082204053663,1.27770551013416,0,0,0.766623306080495
-2.5,-4.37291337458159,-7.18228343645398,0,-0.70156645537924,-1.7539161384481,0,0,-1.05234968306886,2.5,4.37291337458159,7.18228343645398,0,0.701566455379239,1.7539161384481,0,0,1.05234968306886
